,feature importance,biomolecule
646,0.0,ARG2
647,0.0,ARGFX
648,0.0,ARGLU1
649,0.0,ARHGAP1
650,0.0,ARHGAP10
651,0.0,ARHGAP11A
652,0.0,ARHGAP11B
653,0.0,ARHGAP12
654,0.0,ARHGAP15
655,0.0,ARHGAP17
656,0.0,ARHGAP18
657,0.0,ARHGAP19
658,0.00043880061166145867,ARHGAP21
659,0.0,ARHGAP22
660,0.0,ARHGAP23
661,0.0,ARHGAP24
662,0.0,ARHGAP25
663,0.0,ARHGAP26
664,0.0,ARHGAP27
665,0.0,ARHGAP29
666,0.0,ARHGAP30
667,0.0,ARHGAP31
668,0.0,ARHGAP32
669,0.0,ARHGAP33
670,0.0,ARHGAP35
671,0.0,ARHGAP4
672,0.0,ARHGAP42
673,0.0,ARHGAP45
674,0.0,ARHGAP5
675,0.0,ARHGAP6
676,0.0,ARHGAP9
677,0.0,ARHGDIA
678,0.0016876687668766876,ARHGDIB
679,0.0,ARHGEF1
680,0.0,ARHGEF10
681,0.00023870417732310318,ARHGEF10L
682,0.0,ARHGEF11
683,0.0,ARHGEF12
684,0.0,ARHGEF17
685,0.0,ARHGEF18
686,0.0,ARHGEF19
687,0.0,ARHGEF2
688,0.0,ARHGEF25
689,0.0,ARHGEF3
690,0.0,ARHGEF35
691,0.0,ARHGEF37
692,0.0,ARHGEF39
693,0.0,ARHGEF4
694,0.0,ARHGEF40
695,0.0,ARHGEF5
696,0.0,ARHGEF6
697,0.0,ARHGEF7
698,0.0,ARHGEF9
699,0.0,ARID1A
700,0.0,ARID1B
701,0.0,ARID2
702,0.0002591599642537979,ARID3A
703,0.0,ARID3B
704,0.0,ARID4A
705,0.0,ARID4B
706,0.0,ARID5A
707,0.0,ARID5B
708,0.0,ARIH1
709,0.0,ARIH2
710,0.001861814015146763,ARL1
711,0.0,ARL10
712,0.0,ARL11
713,0.0,ARL13B
714,0.0,ARL14EP
715,0.0,ARL15
716,0.0,ARL16
717,0.0,ARL17A
718,0.0,ARL17B
719,0.0,ARL2
720,0.0,ARL2BP
721,0.0,ARL3
722,0.0,ARL4A
723,0.0,ARL4C
724,0.0,ARL4D
725,0.0018384670971273512,ARL5A
726,0.0,ARL5B
727,0.00013183046602069717,ARL6
728,0.0,ARL6IP1
729,0.0,ARL6IP4
730,0.0,ARL6IP5
731,0.0,ARL6IP6
732,0.0019133496394561178,ARL8A
733,0.0,ARL8B
734,0.0,ARMC1
735,0.0,ARMC10
736,0.0005638967854668515,ARMC12
737,0.0,ARMC2
738,0.0,ARMC3
739,0.0,ARMC5
740,0.0,ARMC6
741,0.0,ARMC7
742,0.0,ARMC8
743,0.0,ARMC9
744,0.0,ARMCX1
745,0.0,ARMCX2
746,0.0,ARMCX3
747,0.0,ARMCX4
748,0.0,ARMCX5
749,0.0018128916741271262,ARMCX5-GPRASP2
750,0.0,ARMCX6
751,0.0005157733265156398,ARMH1
752,0.00044994375703037124,ARMH2
753,0.0,ARMH3
754,0.0,ARMT1
755,0.0,ARNT
756,0.0,ARNTL
757,0.0,ARNTL2
758,0.0,ARPC1A
759,0.0,ARPC1B
760,0.0,ARPC2
761,0.0,ARPC3
762,0.0006725720460513494,ARPC4
763,0.0,ARPC4-TTLL3
764,0.0,ARPC5
765,0.0,ARPC5L
766,0.0,ARPIN
767,0.0,ARPIN-AP3S2
768,0.0,ARPP19
769,0.0006053783614759218,ARRB1
770,0.0,ARRB2
771,0.0,ARRDC1
772,0.0,ARRDC2
773,0.0,ARRDC3
774,0.0,ARRDC4
775,0.0,ARRDC5
776,0.0,ARSA
777,0.0,ARSB
778,0.0,ARSD
779,0.0,ARSG
780,0.0,ARSK
781,0.0,ARV1
782,0.0,ARVCF
783,0.0,AS3MT
784,0.0,ASAH1
785,0.0,ASAH2B
786,0.0,ASAP1
787,0.0,ASAP2
788,0.0,ASAP3
789,0.0,ASB1
790,0.0,ASB13
791,0.0,ASB14
792,0.0,ASB16
793,0.0,ASB2
794,0.0,ASB3
795,0.00028747637521138,ASB6
796,0.0,ASB7
797,0.0,ASB8
798,0.0,ASB9
799,0.0,ASCC1
800,0.0,ASCC2
801,0.0,ASCC3
802,0.0,ASCL2
803,0.0,ASDURF
804,0.0,ASF1A
805,0.0,ASF1B
806,0.0,ASGR1
807,0.0,ASGR2
808,0.0,ASH1L
809,0.0,ASH2L
810,0.0,ASIC3
811,0.0,ASL
812,0.0,ASMTL
813,0.0,ASNS
814,0.0,ASNSD1
815,0.0,ASPH
816,0.0,ASPHD2
817,0.000761519353487313,ASPM
818,0.0,ASPRV1
819,0.0,ASPSCR1
820,0.0,ASRGL1
821,0.0,ASS1
822,0.0,ASTE1
823,0.0,ASTN2
824,0.0,ASXL1
825,0.0,ASXL2
826,0.0,ATAD1
827,0.0,ATAD2
828,0.0,ATAD2B
829,0.0,ATAD3A
830,0.0,ATAD3B
831,0.0,ATAD3C
832,0.0,ATAD5
833,0.0,ATAT1
834,0.0,ATCAY
835,0.0,ATE1
836,0.0,ATF1
837,0.0,ATF2
838,0.0,ATF3
839,0.0,ATF4
840,0.0,ATF5
841,0.0,ATF6
842,0.0,ATF6B
843,0.0,ATF7
844,0.0,ATF7IP
845,0.0,ATF7IP2
846,0.0,ATG10
847,0.0,ATG101
848,0.00023228803716608605,ATG12
849,0.0006399999999999998,ATG13
850,0.0,ATG14
851,0.0,ATG16L1
852,0.0,ATG16L2
853,0.0,ATG2A
854,0.0,ATG2B
855,0.0,ATG3
856,0.0,ATG4A
857,0.0,ATG4B
858,0.0,ATG4C
859,0.0,ATG4D
860,0.0,ATG5
861,0.0,ATG7
862,0.0006015037593984961,ATG9A
863,0.0,ATIC
864,0.000420591456736035,ATL1
865,0.0,ATL2
866,0.0,ATL3
867,0.0002562179727534057,ATM
